family,case_id,severity,design_note
family1,family1_near_identity_v3_0.08,0.08,near_identity_v3 replica-phase alias family
family1,family1_near_identity_v3_0.10,0.1,near_identity_v3 replica-phase alias family
family1,family1_near_identity_v3_0.12,0.12,near_identity_v3 replica-phase alias family
family2,family2_offset_dispersion_0.08,0.08,offset_dispersion via replica-constant peripheral offsets
family2,family2_offset_dispersion_0.10,0.1,offset_dispersion via replica-constant peripheral offsets
family2,family2_offset_dispersion_0.12,0.12,offset_dispersion via replica-constant peripheral offsets
